match_id,league,date,time,kickoff_time_utc,home_team,away_team,home_goals,away_goals,result,home_odds,draw_odds,away_odds
F1_2024-09-01_reims_rennes,F1,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Reims,Rennes,2,1,H,3.19,3.48,2.24
SP1_2024-09-01_alaves_las-palmas,SP1,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Alaves,Las Palmas,2,0,H,1.74,3.56,5.2
SP1_2024-09-01_osasuna_celta,SP1,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Osasuna,Celta,3,2,H,2.51,3.26,2.95
D1_2024-09-01_bayern-munich_freiburg,D1,2024-09-01,16:30,2024-09-01 15:30:00+00:00,Bayern Munich,Freiburg,2,0,H,1.2,7.84,12.66
I1_2024-09-01_fiorentina_monza,I1,2024-09-01,17:30,2024-09-01 16:30:00+00:00,Fiorentina,Monza,2,2,D,1.81,3.51,4.76
I1_2024-09-01_genoa_verona,I1,2024-09-01,17:30,2024-09-01 16:30:00+00:00,Genoa,Verona,0,2,A,2.09,3.24,3.88
SP1_2024-09-01_sevilla_girona,SP1,2024-09-01,18:00,2024-09-01 17:00:00+00:00,Sevilla,Girona,0,2,A,2.83,3.62,2.41
SP1_2024-09-01_getafe_sociedad,SP1,2024-09-01,18:15,2024-09-01 17:15:00+00:00,Getafe,Sociedad,0,0,D,3.15,2.72,2.78
F1_2024-09-01_lille_paris-sg,F1,2024-09-01,19:45,2024-09-01 18:45:00+00:00,Lille,Paris SG,1,3,A,4.36,3.87,1.78
I1_2024-09-01_juventus_roma,I1,2024-09-01,19:45,2024-09-01 18:45:00+00:00,Juventus,Roma,0,0,D,1.76,3.62,4.92
I1_2024-09-01_udinese_como,I1,2024-09-01,19:45,2024-09-01 18:45:00+00:00,Udinese,Como,1,0,H,2.27,3.22,3.35
SP1_2024-09-01_real-madrid_betis,SP1,2024-09-01,20:30,2024-09-01 19:30:00+00:00,Real Madrid,Betis,2,0,H,1.25,6.27,11.97
D1_2024-09-13_dortmund_heidenheim,D1,2024-09-13,19:30,2024-09-13 18:30:00+00:00,Dortmund,Heidenheim,4,2,H,1.35,5.56,8.14
F1_2024-09-13_st-etienne_lille,F1,2024-09-13,19:45,2024-09-13 18:45:00+00:00,St Etienne,Lille,1,0,H,5.2,3.7,1.71
SP1_2024-09-13_betis_leganes,SP1,2024-09-13,20:00,2024-09-13 19:00:00+00:00,Betis,Leganes,2,0,H,1.67,3.59,5.99
E0_2024-09-14_southampton_man-united,E0,2024-09-14,12:30,2024-09-14 11:30:00+00:00,Southampton,Man United,0,3,A,4.19,4.05,1.8
SP1_2024-09-14_mallorca_villarreal,SP1,2024-09-14,13:00,2024-09-14 12:00:00+00:00,Mallorca,Villarreal,1,2,A,2.36,3.24,3.21
I1_2024-09-14_como_bologna,I1,2024-09-14,14:00,2024-09-14 13:00:00+00:00,Como,Bologna,2,2,D,3.0,3.07,2.59
D1_2024-09-14_freiburg_bochum,D1,2024-09-14,14:30,2024-09-14 13:30:00+00:00,Freiburg,Bochum,2,1,H,1.58,4.29,5.58
D1_2024-09-14_hoffenheim_leverkusen,D1,2024-09-14,14:30,2024-09-14 13:30:00+00:00,Hoffenheim,Leverkusen,1,4,A,6.66,5.22,1.42
D1_2024-09-14_m-gladbach_stuttgart,D1,2024-09-14,14:30,2024-09-14 13:30:00+00:00,M'gladbach,Stuttgart,1,3,A,2.68,3.84,2.44
D1_2024-09-14_rb-leipzig_union-berlin,D1,2024-09-14,14:30,2024-09-14 13:30:00+00:00,RB Leipzig,Union Berlin,0,0,D,1.46,4.77,6.67
D1_2024-09-14_wolfsburg_ein-frankfurt,D1,2024-09-14,14:30,2024-09-14 13:30:00+00:00,Wolfsburg,Ein Frankfurt,1,2,A,2.75,3.46,2.55
E0_2024-09-14_brighton_ipswich,E0,2024-09-14,15:00,2024-09-14 14:00:00+00:00,Brighton,Ipswich,0,0,D,1.48,4.7,6.48
E0_2024-09-14_crystal-palace_leicester,E0,2024-09-14,15:00,2024-09-14 14:00:00+00:00,Crystal Palace,Leicester,2,2,D,1.67,3.98,5.27
E0_2024-09-14_fulham_west-ham,E0,2024-09-14,15:00,2024-09-14 14:00:00+00:00,Fulham,West Ham,1,1,D,2.33,3.39,3.15
E0_2024-09-14_liverpool_nott-m-forest,E0,2024-09-14,15:00,2024-09-14 14:00:00+00:00,Liverpool,Nott'm Forest,0,1,A,1.23,6.75,11.99
E0_2024-09-14_man-city_brentford,E0,2024-09-14,15:00,2024-09-14 14:00:00+00:00,Man City,Brentford,2,1,H,1.19,7.64,13.85
SP1_2024-09-14_espanol_alaves,SP1,2024-09-14,15:15,2024-09-14 14:15:00+00:00,Espanol,Alaves,3,2,H,2.93,3.0,2.71
F1_2024-09-14_marseille_nice,F1,2024-09-14,16:00,2024-09-14 15:00:00+00:00,Marseille,Nice,2,0,H,1.88,3.59,4.29
I1_2024-09-14_empoli_juventus,I1,2024-09-14,17:00,2024-09-14 16:00:00+00:00,Empoli,Juventus,0,0,D,6.05,3.72,1.64
D1_2024-09-14_holstein-kiel_bayern-munich,D1,2024-09-14,17:30,2024-09-14 16:30:00+00:00,Holstein Kiel,Bayern Munich,1,6,A,12.51,7.61,1.2
E0_2024-09-14_aston-villa_everton,E0,2024-09-14,17:30,2024-09-14 16:30:00+00:00,Aston Villa,Everton,3,2,H,1.68,3.94,5.24
SP1_2024-09-14_sevilla_getafe,SP1,2024-09-14,17:30,2024-09-14 16:30:00+00:00,Sevilla,Getafe,1,0,H,2.26,3.05,3.69
F1_2024-09-14_auxerre_monaco,F1,2024-09-14,18:00,2024-09-14 17:00:00+00:00,Auxerre,Monaco,0,3,A,4.31,3.96,1.79
I1_2024-09-14_milan_venezia,I1,2024-09-14,19:45,2024-09-14 18:45:00+00:00,Milan,Venezia,4,0,H,1.27,6.19,10.79
E0_2024-09-14_bournemouth_chelsea,E0,2024-09-14,20:00,2024-09-14 19:00:00+00:00,Bournemouth,Chelsea,0,1,A,3.11,3.8,2.19
F1_2024-09-14_paris-sg_brest,F1,2024-09-14,20:00,2024-09-14 19:00:00+00:00,Paris SG,Brest,3,1,H,1.29,5.99,9.74
